name,url,location,city,phone,specialties,scraped_at
Best Neurosurgery Hospitals in New Delhi | Top Neurology Clinics,https://www.vaidam.com/hospitals/neurology-and-neurosurgery/india/new-delhi,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:26
Best Heart Hospitals in Istanbul - Affordable Cardiology Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/turkey/istanbul,Turkey,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:27
Best Cosmetic and Plastic Surgery Hospitals in New Delhi,https://www.vaidam.com/hospitals/cosmetic-and-plastic-surgery/india/new-delhi,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:29
"Songkhla Hospital, Songkhla Doctor List, Address",https://www.vaidam.com/hospital/songkhla-hospital-songkhla,,Mumbai,,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:31
Top Hematology Hospitals in Dubai | Advanced & Affordable Care,https://www.vaidam.com/hospitals/hematology/united-arab-emirates/dubai,United Arab Emirates       Established in 2013,Delhi,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:34
Top 10 Best Spine Surgery Hospitals in Dubai,https://www.vaidam.com/hospitals/spine-surgery/united-arab-emirates/dubai,United Arab Emirates       NMC Specialty Hospital,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:37
Best Heart Hospitals in Dubai - Affordable Cardiology Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/united-arab-emirates/dubai,United Arab Emirates       Established in 1840 in,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:44
Best Cosmetic and Plastic Surgery Hospitals in Gurgaon,https://www.vaidam.com/hospitals/cosmetic-and-plastic-surgery/india/gurgaon,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:06
Top Hematology Hospitals in New Delhi | Advanced & Affordable Care,https://www.vaidam.com/hospitals/hematology/india/new-delhi,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:07
Best Cancer Hospitals in Chennai - Top Oncology Clinics,https://www.vaidam.com/hospitals/oncology-and-oncosurgery/india/chennai,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:31
"Leading Spine Surgery Hospitals in Istanbul, Turkey - Top Medical Facilities",https://www.vaidam.com/hospitals/spine-surgery/turkey/istanbul,Turkey,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:33
Best Heart Hospitals in Hyderabad - Affordable Cardiology Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/india/hyderabad,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:34
Top 10 Best Spine Surgery Hospitals in Abu Dhabi,https://www.vaidam.com/hospitals/spine-surgery/united-arab-emirates/abu-dhabi,United Arab Emirates       Established in 1975,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:42
Top Hematology Hospitals in Noida | Advanced & Affordable Care,https://www.vaidam.com/hospitals/hematology/india/noida,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:43
Best Neurosurgery Hospitals in Noida | Top Neurology Clinics,https://www.vaidam.com/hospitals/neurology-and-neurosurgery/india/noida,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:45
Best Heart Hospitals in Bangkok - Affordable Cardiology Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/thailand/bangkok,Thailand,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:46
Best Gynecology Hospitals in Istanbul | Trusted by Patients,https://www.vaidam.com/hospitals/gynecology/turkey/istanbul,Turkey,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:48
Best Neurosurgery Hospitals in Dubai | Top Neurology Clinics,https://www.vaidam.com/hospitals/neurology-and-neurosurgery/united-arab-emirates/dubai,United Arab Emirates       Burjeel Holdings's prem,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:56
Best Heart Hospitals in New Delhi - Affordable Cardiology Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/india/new-delhi,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:58
Best Cancer Hospitals in Hyderabad - Top Oncology Clinics,https://www.vaidam.com/hospitals/oncology-and-oncosurgery/india/hyderabad,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:54:21
Best Heart Hospitals in Mumbai - Affordable Cardiology Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/india/mumbai,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:54:43
Best Pediatric Hospitals in Abu Dhabi | Top Children's Clinics,https://www.vaidam.com/hospitals/pediatrics-and-pediatric-surgery/united-arab-emirates/abu-dhabi,United Arab Emirates       Burjeel Medical City is,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:54:44
Best Neurosurgery Hospitals in Bangkok | Top Neurology Clinics,https://www.vaidam.com/hospitals/neurology-and-neurosurgery/thailand/bangkok,Thailand,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:54:46
Best Cancer Hospitals in New Delhi - Top Oncology Clinics,https://www.vaidam.com/hospitals/oncology-and-oncosurgery/india/new-delhi,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:55:09
Best Cosmetic and Plastic Surgery Hospitals in Hyderabad,https://www.vaidam.com/hospitals/cosmetic-and-plastic-surgery/india/hyderabad,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:55:09
Best Gynecology Hospitals in Hyderabad | Trusted by Patients,https://www.vaidam.com/hospitals/gynecology/india/hyderabad,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:55:11
Best Cancer Hospitals in Mumbai - Top Oncology Clinics,https://www.vaidam.com/hospitals/oncology-and-oncosurgery/india/mumbai,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:55:12
Best Spine Surgery Hospitals in Mumbai for Spine Health - Top Medical Facilities,https://www.vaidam.com/hospitals/spine-surgery/india/mumbai,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:55:35
Best Gynecology Hospitals in Abu Dhabi | Trusted by Patients,https://www.vaidam.com/hospitals/gynecology/united-arab-emirates/abu-dhabi,United Arab Emirates       The NMC Royal Women's H,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:55:35
Best Gynecology Hospitals in Dubai | Trusted by Patients,https://www.vaidam.com/hospitals/gynecology/united-arab-emirates/dubai,United Arab Emirates       Established in 2013,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:55:37
Top 10 Orthopedic Hospitals in Istanbul for Joint & Bone Care - Top Facilities,https://www.vaidam.com/hospitals/orthopedics/turkey/istanbul,Turkey,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:55:38
Top Spine Surgery Hospitals in Bangalore for Back Pain Relief - Top Facilities,https://www.vaidam.com/hospitals/spine-surgery/india/bangalore,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:56:00
Top Spine Surgery Hospitals in Bangkok for Back & Spine Health - Top Facilities,https://www.vaidam.com/hospitals/spine-surgery/thailand/bangkok,Thailand,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:56:01
Best Pediatric Hospitals in Dubai | Top Children's Clinics,https://www.vaidam.com/hospitals/pediatrics-and-pediatric-surgery/united-arab-emirates/dubai,United Arab Emirates       Burjeel Holdings's prem,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:56:02
Best Neurosurgery Hospitals in Abu Dhabi | Top Neurology Clinics,https://www.vaidam.com/hospitals/neurology-and-neurosurgery/united-arab-emirates/abu-dhabi,United Arab Emirates       Burjeel Hospital,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:56:08
Best Gynecology Hospitals in Chennai | Trusted by Patients,https://www.vaidam.com/hospitals/gynecology/india/chennai,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:56:31
Best Cancer Hospitals in Abu Dhabi - Top Oncology Clinics,https://www.vaidam.com/hospitals/oncology-and-oncosurgery/united-arab-emirates/abu-dhabi,United Arab Emirates       Burjeel Hospital,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:56:33
